"Name","Status"
"AarSvc_6d0e5","Stopped"
"AJRouter","Stopped"
"ALG","Stopped"
"AppIDSvc","Stopped"
"AppMgmt","Stopped"
"AppReadiness","Stopped"
"AppVClient","Stopped"
"AssignedAccessManagerSvc","Stopped"
"autotimesvc","Stopped"
"AxInstSV","Stopped"
"BcastDVRUserService_6d0e5","Stopped"
"BDESVC","Stopped"
"BITS","Stopped"
"BluetoothUserService_6d0e5","Stopped"
"BTAGService","Stopped"
"bthserv","Stopped"
"camsvc","Stopped"
"CaptureService_6d0e5","Stopped"
"CertPropSvc","Stopped"
"ClipSVC","Stopped"
"cloudidsvc","Stopped"
"COMSysApp","Stopped"
"ConsentUxUserSvc_6d0e5","Stopped"
"CredentialEnrollmentManagerUserSvc_6d0e5","Stopped"
"CscService","Stopped"
"defragsvc","Stopped"
"DeviceAssociationBrokerSvc_6d0e5","Stopped"
"DeviceInstall","Stopped"
"DevicePickerUserSvc_6d0e5","Stopped"
"DevicesFlowUserSvc_6d0e5","Stopped"
"DevQueryBroker","Stopped"
"diagnosticshub.standardcollector.service","Stopped"
"diagsvc","Stopped"
"DialogBlockingService","Stopped"
"DmEnrollmentSvc","Stopped"
"dmwappushservice","Stopped"
"dot3svc","Stopped"
"DsmSvc","Stopped"
"Eaphost","Stopped"
"edgeupdate","Stopped"
"edgeupdatem","Stopped"
"EFS","Stopped"
"embeddedmode","Stopped"
"EntAppSvc","Stopped"
"Fax","Stopped"
"fdPHost","Stopped"
"FDResPub","Stopped"
"fhsvc","Stopped"
"FrameServer","Stopped"
"FvSvc","Stopped"
"GoogleChromeElevationService","Stopped"
"gpsvc","Stopped"
"GraphicsPerfSvc","Stopped"
"gupdate","Stopped"
"gupdatem","Stopped"
"HvHost","Stopped"
"icssvc","Stopped"
"IKEEXT","Stopped"
"IpxlatCfgSvc","Stopped"
"klvssbridge64_21.3","Stopped"
"KtmRm","Stopped"
"lltdsvc","Stopped"
"LxpSvc","Stopped"
"MapsBroker","Stopped"
"MessagingService_6d0e5","Stopped"
"MicrosoftEdgeElevationService","Stopped"
"MixedRealityOpenXRSvc","Stopped"
"MSDTC","Stopped"
"MSiSCSI","Stopped"
"msiserver","Stopped"
"MsKeyboardFilter","Stopped"
"NaturalAuthentication","Stopped"
"NcaSvc","Stopped"
"NcdAutoSetup","Stopped"
"Netlogon","Stopped"
"NetSetupSvc","Stopped"
"NetTcpPortSharing","Stopped"
"ose","Stopped"
"p2pimsvc","Stopped"
"p2psvc","Stopped"
"PeerDistSvc","Stopped"
"perceptionsimulation","Stopped"
"PerfHost","Stopped"
"pla","Stopped"
"PNRPAutoReg","Stopped"
"PNRPsvc","Stopped"
"PolicyAgent","Stopped"
"PrintNotify","Stopped"
"PrintWorkflowUserSvc_6d0e5","Stopped"
"PushToInstall","Stopped"
"QWAVE","Stopped"
"RasAuto","Stopped"
"RemoteAccess","Stopped"
"RemoteRegistry","Stopped"
"RetailDemo","Stopped"
"RpcLocator","Stopped"
"SCardSvr","Stopped"
"ScDeviceEnum","Stopped"
"SCPolicySvc","Stopped"
"SDRSVC","Stopped"
"seclogon","Stopped"
"Sense","Stopped"
"SensorDataService","Stopped"
"SensorService","Stopped"
"SensrSvc","Stopped"
"SessionEnv","Stopped"
"SharedAccess","Stopped"
"SharedRealitySvc","Stopped"
"shpamsvc","Stopped"
"smphost","Stopped"
"SmsRouter","Stopped"
"SNMPTRAP","Stopped"
"spectrum","Stopped"
"sppsvc","Stopped"
"SQLBrowser","Stopped"
"SQLSERVERAGENT","Stopped"
"ssh-agent","Stopped"
"svsvc","Stopped"
"swprv","Stopped"
"TapiSrv","Stopped"
"TermService","Stopped"
"TieringEngineService","Stopped"
"TroubleshootingSvc","Stopped"
"TrustedInstaller","Stopped"
"tzautoupdate","Stopped"
"UdkUserSvc_6d0e5","Stopped"
"UevAgentService","Stopped"
"uhssvc","Stopped"
"UmRdpService","Stopped"
"upnphost","Stopped"
"VacSvc","Stopped"
"vds","Stopped"
"vmicguestinterface","Stopped"
"vmicheartbeat","Stopped"
"vmickvpexchange","Stopped"
"vmicrdv","Stopped"
"vmicshutdown","Stopped"
"vmictimesync","Stopped"
"vmicvmsession","Stopped"
"vmicvss","Stopped"
"VSS","Stopped"
"W32Time","Stopped"
"WaaSMedicSvc","Stopped"
"WalletService","Stopped"
"WarpJITSvc","Stopped"
"wbengine","Stopped"
"WbioSrvc","Stopped"
"wcncsvc","Stopped"
"WdiSystemHost","Stopped"
"WdNisSvc","Stopped"
"WebClient","Stopped"
"Wecsvc","Stopped"
"WEPHOSTSVC","Stopped"
"wercplsupport","Stopped"
"WerSvc","Stopped"
"WFDSConMgrSvc","Stopped"
"WiaRpc","Stopped"
"WinDefend","Stopped"
"WinRM","Stopped"
"wisvc","Stopped"
"WlanSvc","Stopped"
"wlidsvc","Stopped"
"wlpasvc","Stopped"
"WManSvc","Stopped"
"wmiApSrv","Stopped"
"WMPNetworkSvc","Stopped"
"workfolderssvc","Stopped"
"WpcMonSvc","Stopped"
"WPDBusEnum","Stopped"
"WwanSvc","Stopped"
"XblGameSave","Stopped"
"XboxGipSvc","Stopped"
"XboxNetApiSvc","Stopped"
